External Library Name, Link to License, License Name, Binaries using the license, URL
upb_textformat_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.so ./emulator-check gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
utf8_range_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.so ./emulator-check gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
swiftshader, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev/LICENSE.txt, Apache-2.0, lib64/gles_swiftshader/libGLES_CM.so lib64/gles_swiftshader/libEGL.so lib64/gles_swiftshader/libGLESv2.so ./emulator, https://android.googlesource.com/platform/external/swiftshader/+/refs/heads/emu-master-dev
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, android-emu-shared.so ./emulator ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 android-emu-metrics.so ./qsn gfxstream_backend.so, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.so ./emulator-check gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
abseil, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev/LICENSE, Apache-2, abseil_dll.so, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev
libcurl, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev/NOTICE, curl, android-emu-shared.so ./emulator ./emulator-check ./qemu-img ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 android-emu-curl.so android-emu-metrics.so ./qsn gfxstream_backend.so, https://android.googlesource.com/platform/external/curl/+/refs/heads/emu-master-dev
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, android-emu-shared.so ./emulator-check gfxstream_backend.so glib2_linux-aarch64.so ./nimble_bridge ./qemu/linux-aarch64/qemu-system-aarch64-headless emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, android-emu-shared.so ./emulator-check gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
flatbuffers, Apache-2.0, Apache-2.0, ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qsn, https://github.com/google/flatbuffers
grpc++_reflection, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-aarch64/qemu-system-aarch64-headless ./qemu/linux-aarch64/qemu-system-aarch64 ./emulator-check ./qsn, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, android-emu-shared.so ./emulator-check gfxstream_backend.so ./qemu/linux-aarch64/qemu-system-aarch64-headless ./nimble_bridge emugl_common.so ./qemu/linux-aarch64/qemu-system-aarch64 ./qsn ./qemu-img, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
